Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
VE	2.899225E+16	-60.792303	4.076506E-1	-8.704467	9.273211E-2	-4.374374	8.085232E-2	2.36155500	0.99983617	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.892635E+16	-174.717821	1.530679E-1	-22.677569	1.023995E-1	-11.991409	8.045674E-2	2.52954750	0.99976308	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	2.893955E+16	1.886925	7.433353E-1	8.002310	1.077160E-1	4.309652	7.026870E-2	2.45582750	0.99982820	4
60;1	2.889455E+16	-58.346711	5.833194E-1	-7.962762	7.469079E-2	-4.251760	5.840377E-2	2.46569250	0.99986010	4
60;2	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
60;3	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
60;4	2.864602E+16	-46.054711	7.497343E-1	-3.892779	1.172496E-1	-2.270856	9.428137E-2	2.50527000	0.99987472	4
60;5	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	2.894635E+16	2.392353	2.057363E-1	7.957657	7.558509E-2	4.007509	7.121141E-2	2.53157000	0.99994782	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
60;6	2.905980E+16	-36.327315	2.882997E-1	-0.574230	7.182625E-2	-0.295190	4.159646E-2	2.49023000	0.99998106	4
60;7	2.896585E+16	-28.688040	4.595472E-1	1.933134	9.152789E-2	0.980165	6.599527E-2	2.40609500	0.99999435	4
603	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
641	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
102	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	2.890747E+16	-60.730306	5.592593E-1	-8.700642	9.938729E-2	-4.522613	2.228205E-2	2.50849000	0.99997441	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.910942E+16	-174.607684	7.124568E-1	-22.612685	7.408972E-2	-12.129593	2.743920E-2	2.53199750	1.00002227	4
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
105	2.905527E+16	-30.975053	5.524946E-1	-5.174753	6.788711E-2	-2.928450	8.127778E-2	2.38543000	1.00003955	4
W017	2.898947E+16	-67.403019	7.381354E-1	-9.761560	8.460943E-2	-5.289942	8.053391E-2	2.46611750	1.00001030	4
W070	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
W071	2.914675E+16	-30.814329	7.819592E-1	-5.641661	6.468981E-2	-2.912805	1.001621E-1	2.52226250	1.00009673	4
K001	2.896132E+16	-37.980702	2.781299E-1	-6.884413	3.662673E-2	-3.509649	4.975648E-2	2.47442750	1.00007412	4
Alpen	3.003800E+16	-174.632958	0.000000E+0	-22.720194	0.000000E+0	-11.933513	0.000000E+0	2.45093000	1.00024568	1
