Frequency	Amplitude	Amplitude Error	Phase	Phase Error
2.425000E+3	2.550798E-7	1.446427E-8	9.991450E-1	6.686107E-2
2.425250E+3	2.388201E-7	1.473086E-8	9.241496E-1	7.976397E-2
2.425500E+3	2.326090E-7	1.122068E-8	1.084552E+0	3.930587E-2
2.425750E+3	2.484216E-7	9.776724E-9	1.168425E+0	2.930328E-2
2.426000E+3	2.282395E-7	1.068116E-8	1.040941E+0	3.155306E-2
2.426250E+3	2.442851E-7	1.018521E-8	1.094743E+0	2.712368E-2
2.426500E+3	2.416767E-7	1.165622E-8	1.069999E+0	3.167653E-2
2.426750E+3	2.478697E-7	9.514769E-9	1.056424E+0	4.298318E-2
2.427000E+3	2.284879E-7	1.720218E-8	1.117741E+0	8.565255E-2
2.427250E+3	2.578003E-7	2.240423E-8	1.177443E+0	1.140948E-1
2.427500E+3	2.356708E-7	1.931230E-8	8.995995E-1	8.876842E-2
2.427750E+3	2.443452E-7	2.479458E-8	1.123249E+0	8.748956E-2
2.428000E+3	2.532418E-7	1.951744E-8	1.111344E+0	4.334764E-2
2.428250E+3	2.234773E-7	1.102922E-8	1.033900E+0	2.746587E-2
2.428500E+3	2.314163E-7	1.047974E-8	1.061744E+0	3.044904E-2
2.428750E+3	2.453996E-7	1.037794E-8	1.086747E+0	2.683341E-2
2.429000E+3	2.588367E-7	8.670576E-9	1.117620E+0	3.473685E-2
2.429250E+3	2.439351E-7	1.059644E-8	1.075003E+0	3.364550E-2
2.429500E+3	2.487342E-7	9.698741E-9	1.105118E+0	2.686640E-2
2.429750E+3	2.492213E-7	1.034109E-8	1.060886E+0	2.913567E-2
2.430000E+3	2.470219E-7	9.950319E-9	1.096058E+0	2.139074E-2
2.430250E+3	2.411513E-7	8.576233E-9	1.040077E+0	4.248405E-2
2.430500E+3	2.530725E-7	1.019634E-8	1.054206E+0	2.309826E-2
2.430750E+3	2.498486E-7	9.875872E-9	1.097122E+0	2.672895E-2
2.431000E+3	2.619617E-7	7.074780E-9	1.117313E+0	2.479028E-2
2.431250E+3	2.541486E-7	9.106349E-9	1.069387E+0	3.295324E-2
2.431500E+3	2.573636E-7	7.949803E-9	1.049089E+0	3.958289E-2
2.431750E+3	2.513218E-7	9.252949E-9	1.068323E+0	2.874182E-2
2.432000E+3	2.616119E-7	9.511144E-9	1.095759E+0	2.097344E-2
2.432250E+3	2.541781E-7	9.064978E-9	1.088568E+0	2.535100E-2
2.432500E+3	2.615761E-7	9.881726E-9	1.115589E+0	2.081268E-2
2.432750E+3	2.647345E-7	1.040584E-8	1.073322E+0	2.865945E-2
2.433000E+3	2.547464E-7	8.600280E-9	1.086442E+0	3.737135E-2
2.433250E+3	2.507598E-7	1.144443E-8	1.007776E+0	3.604236E-2
2.433500E+3	2.694880E-7	9.357358E-9	1.120906E+0	2.089011E-2
2.433750E+3	2.597147E-7	1.012001E-8	1.068419E+0	2.371844E-2
2.434000E+3	2.660313E-7	8.594596E-9	1.086953E+0	3.003125E-2
2.434250E+3	2.756224E-7	9.440116E-9	1.117812E+0	2.605078E-2
2.434500E+3	2.666590E-7	1.064889E-8	1.020121E+0	3.010206E-2
2.434750E+3	2.591710E-7	1.108011E-8	1.070943E+0	2.893024E-2
2.435000E+3	2.642832E-7	9.432307E-9	1.097723E+0	2.549293E-2
2.435250E+3	2.738237E-7	7.568207E-9	1.073341E+0	2.891543E-2
2.435500E+3	2.809737E-7	5.261911E-9	1.104861E+0	2.413074E-2
2.435750E+3	2.790854E-7	8.250281E-9	1.035164E+0	2.293139E-2
2.436000E+3	2.745020E-7	1.203882E-8	1.061751E+0	2.599802E-2
2.436250E+3	2.669609E-7	8.963544E-9	1.060677E+0	3.551380E-2
2.436500E+3	2.920468E-7	5.952560E-9	1.064564E+0	2.114555E-2
2.436750E+3	2.859962E-7	7.352426E-9	1.106416E+0	1.810572E-2
2.437000E+3	2.846489E-7	6.519226E-9	1.037543E+0	2.277644E-2
2.437250E+3	2.930897E-7	6.976552E-9	1.096228E+0	2.258347E-2
2.437500E+3	2.887392E-7	5.610998E-9	1.068721E+0	2.193750E-2
2.437750E+3	2.920468E-7	5.952560E-9	1.040066E+0	3.318168E-2
2.438000E+3	2.814381E-7	9.791891E-9	1.076861E+0	2.786050E-2
2.438250E+3	2.828085E-7	1.004830E-8	1.026435E+0	2.562280E-2
2.438500E+3	2.784222E-7	9.303415E-9	1.018758E+0	2.492158E-2
2.438750E+3	2.828354E-7	8.303952E-9	1.048963E+0	2.848560E-2
2.439000E+3	2.924981E-7	7.313896E-9	1.040162E+0	2.318825E-2
2.439250E+3	3.006998E-7	6.908817E-9	1.060989E+0	1.828072E-2
2.439500E+3	3.030272E-7	4.607101E-9	1.105456E+0	1.957332E-2
2.439750E+3	3.047901E-7	5.490849E-9	1.092167E+0	1.495231E-2
2.440000E+3	3.004438E-7	6.551718E-9	1.103419E+0	1.665206E-2
2.440250E+3	2.989011E-7	6.738466E-9	1.094108E+0	2.389641E-2
2.440500E+3	3.106853E-7	5.475697E-9	1.128806E+0	1.741874E-2
2.440750E+3	3.152479E-7	7.048916E-9	1.094054E+0	2.066709E-2
2.441000E+3	3.114053E-7	5.131935E-9	1.083853E+0	1.315665E-2
2.441250E+3	3.102296E-7	9.034867E-9	1.078979E+0	2.349167E-2
2.441500E+3	3.132506E-7	7.496969E-9	1.088549E+0	2.198687E-2
2.441750E+3	3.127589E-7	5.276827E-9	1.113716E+0	1.648714E-2
2.442000E+3	3.237965E-7	7.601979E-9	1.131107E+0	1.392527E-2
2.442250E+3	3.272599E-7	6.228782E-9	1.106355E+0	1.555185E-2
2.442500E+3	3.348300E-7	7.119848E-9	1.109740E+0	1.291621E-2
2.442750E+3	3.291019E-7	5.881827E-9	1.112760E+0	1.129200E-2
2.443000E+3	3.363552E-7	7.467180E-9	1.138205E+0	1.516059E-2
2.443250E+3	3.272595E-7	6.712790E-9	1.126049E+0	1.533823E-2
2.443500E+3	3.306870E-7	5.683656E-9	1.121127E+0	1.590564E-2
2.443750E+3	3.478235E-7	6.684990E-9	1.153030E+0	1.561875E-2
2.444000E+3	3.400135E-7	7.126819E-9	1.151176E+0	1.652797E-2
2.444250E+3	3.389711E-7	4.174942E-9	1.159939E+0	1.584425E-2
2.444500E+3	3.512028E-7	8.386379E-9	1.166765E+0	1.370209E-2
2.444750E+3	3.559326E-7	5.300763E-9	1.172643E+0	1.459103E-2
2.445000E+3	3.307479E-7	6.044896E-9	1.200335E+0	1.407985E-2
2.445250E+3	3.653504E-7	4.439034E-9	1.221918E+0	1.438160E-2
2.445500E+3	3.453298E-7	6.604310E-9	1.191444E+0	1.581259E-2
2.445750E+3	3.660707E-7	7.043691E-9	1.235745E+0	1.484249E-2
2.446000E+3	3.509326E-7	6.968940E-9	1.249427E+0	1.406194E-2
2.446250E+3	3.532687E-7	4.749741E-9	1.252612E+0	1.382894E-2
2.446500E+3	3.617979E-7	6.030166E-9	1.268150E+0	1.072308E-2
2.446750E+3	3.625612E-7	7.243451E-9	1.281969E+0	8.320125E-3
2.447000E+3	3.481629E-7	6.255496E-9	1.270194E+0	8.056597E-3
2.447250E+3	3.509867E-7	6.831288E-9	1.295271E+0	1.058340E-2
2.447500E+3	3.613927E-7	8.352636E-9	1.296863E+0	1.204427E-2
2.447750E+3	3.489435E-7	4.941766E-9	1.293592E+0	1.441756E-2
2.448000E+3	3.512324E-7	4.391882E-9	1.325737E+0	1.494964E-2
2.448250E+3	3.489432E-7	5.539213E-9	1.360043E+0	1.918305E-2
2.448500E+3	3.559906E-7	6.207576E-9	1.363258E+0	1.700566E-2
2.448750E+3	3.536646E-7	6.310146E-9	1.365838E+0	1.828992E-2
2.449000E+3	3.559160E-7	7.327464E-9	1.363983E+0	1.621851E-2
2.449250E+3	3.557335E-7	5.378879E-9	1.410369E+0	1.726984E-2
2.449500E+3	3.403007E-7	8.861255E-9	1.432734E+0	2.450495E-2
2.449750E+3	3.499309E-7	1.128790E-8	1.421432E+0	1.981547E-2
2.450000E+3	3.478442E-7	1.299894E-8	1.404664E+0	3.352521E-2
2.450250E+3	3.363070E-7	1.440066E-8	1.423599E+0	2.877557E-2
2.450500E+3	3.175924E-7	1.276726E-8	1.438799E+0	2.478395E-2
2.450750E+3	3.245270E-7	7.688488E-9	1.442946E+0	2.609992E-2
2.451000E+3	3.278827E-7	7.476412E-9	1.472015E+0	1.990029E-2
2.451250E+3	3.177505E-7	6.263453E-9	1.461005E+0	1.620637E-2
2.451500E+3	3.207122E-7	7.964619E-9	1.442592E+0	1.467343E-2
2.451750E+3	3.221590E-7	5.424778E-9	1.484615E+0	1.752946E-2
2.452000E+3	3.101021E-7	5.416203E-9	1.466937E+0	1.713270E-2
2.452250E+3	3.153318E-7	6.858799E-9	1.457780E+0	1.688718E-2
2.452500E+3	3.168443E-7	7.016670E-9	1.497192E+0	1.833902E-2
2.452750E+3	3.146883E-7	6.005412E-9	1.483452E+0	1.774947E-2
2.453000E+3	3.145220E-7	6.895341E-9	1.490097E+0	1.821864E-2
2.453250E+3	2.919841E-7	6.596569E-9	1.491642E+0	1.969979E-2
2.453500E+3	2.918178E-7	6.489837E-9	1.498287E+0	1.998785E-2
2.453750E+3	2.895247E-7	5.811336E-9	1.490030E+0	2.011011E-2
2.454000E+3	2.996308E-7	8.577269E-9	1.499792E+0	2.030700E-2
2.454250E+3	2.987528E-7	6.602039E-9	1.520802E+0	1.719065E-2
2.454500E+3	2.971211E-7	6.960766E-9	1.486160E+0	1.908644E-2
2.454750E+3	2.762528E-7	6.835080E-9	1.520802E+0	1.719065E-2
2.455000E+3	2.718991E-7	5.342642E-9	1.495063E+0	2.083428E-2
2.455250E+3	2.763227E-7	5.682222E-9	1.518027E+0	1.812004E-2
2.455500E+3	2.841667E-7	6.611775E-9	1.504287E+0	1.832176E-2
2.455750E+3	2.783683E-7	5.639625E-9	1.536154E+0	1.555521E-2
2.456000E+3	2.765703E-7	5.629764E-9	1.508157E+0	1.920406E-2
2.456250E+3	2.937414E-7	4.128969E-9	1.521252E+0	1.692270E-2
2.456500E+3	2.842772E-7	5.298519E-9	1.499900E+0	1.954093E-2
2.456750E+3	2.746060E-7	5.438466E-9	1.486805E+0	2.088795E-2
2.457000E+3	2.698129E-7	5.366513E-9	1.478548E+0	2.077805E-2
2.457250E+3	2.777674E-7	6.501102E-9	1.460421E+0	2.033900E-2
2.457500E+3	2.653080E-7	7.863386E-9	1.458808E+0	2.061494E-2
2.457750E+3	2.697723E-7	5.467720E-9	1.480160E+0	2.042655E-2
2.458000E+3	2.586565E-7	7.405526E-9	1.524672E+0	1.795093E-2
2.458250E+3	2.641922E-7	4.756480E-9	1.503320E+0	2.061575E-2
2.458500E+3	2.451699E-7	9.398787E-9	1.464500E+0	2.538288E-2
2.458750E+3	2.615296E-7	7.833432E-9	1.509770E+0	1.869594E-2
2.459000E+3	2.650523E-7	7.490837E-9	1.469105E+0	2.366464E-2
2.459250E+3	2.585425E-7	6.729611E-9	1.429626E+0	2.168568E-2
2.459500E+3	2.454580E-7	9.355077E-9	1.453018E+0	2.534340E-2
2.459750E+3	2.358150E-7	1.253255E-8	1.438970E+0	2.861795E-2
