Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.333674E-6	8.683711E-8	3.903086E-1	9.627570E-2
1.205000E+2	1.335276E-6	1.044718E-7	1.432549E-1	9.032684E-2
1.210000E+2	1.422960E-6	8.114314E-8	4.402181E-1	9.947103E-2
1.215000E+2	1.516012E-6	1.622242E-7	1.867762E-1	1.360748E-1
1.220000E+2	1.740692E-6	1.176840E-7	4.287658E-1	1.734250E-1
1.225000E+2	1.874821E-6	2.124614E-7	-1.778110E-1	2.445117E-1
1.230000E+2	2.895624E-6	2.522637E-7	2.265853E-1	2.791231E-1
1.235000E+2	4.729174E-6	2.756168E-7	-2.481253E-1	3.473588E-1
1.240000E+2	8.511226E-6	5.427552E-7	5.720610E-1	3.633450E-1
1.245000E+2	2.223392E-5	6.140948E-7	-3.551709E-1	4.109702E-1
1.250000E+2	6.060843E-5	1.536783E-6	5.567228E-1	3.978652E-1
1.255000E+2	2.975905E-5	9.896085E-7	-6.625689E-2	3.885110E-1
1.260000E+2	1.065840E-5	2.823429E-7	-3.933228E-1	3.724513E-1
1.265000E+2	5.736349E-6	2.917444E-7	-7.833602E-2	3.436177E-1
1.270000E+2	3.099565E-6	3.069873E-7	-8.247069E-2	3.461159E-1
1.275000E+2	2.390349E-6	1.902603E-7	4.037270E-1	1.629753E-1
1.280000E+2	1.901575E-6	2.163058E-7	5.068032E-2	1.051833E-1
1.285000E+2	2.077213E-6	1.351504E-7	2.370534E-1	8.401702E-2
1.290000E+2	2.168112E-6	1.589086E-7	2.284748E-1	8.234693E-2
1.295000E+2	2.243823E-6	9.371079E-8	2.509801E-1	7.113664E-2
1.300000E+2	2.216995E-6	1.096152E-7	1.275988E-1	6.272203E-2
1.305000E+2	2.381594E-6	6.782665E-8	2.457009E-1	5.637812E-2
1.310000E+2	2.416705E-6	8.846976E-8	1.890958E-1	4.265087E-2
1.315000E+2	2.577434E-6	4.607510E-8	3.160387E-1	2.645258E-2
1.320000E+2	2.897617E-6	5.520045E-8	3.103801E-1	2.313302E-2
1.325000E+2	2.903439E-6	4.784852E-8	2.442593E-1	2.419921E-2
1.330000E+2	3.098300E-6	6.969914E-8	2.267221E-1	4.127671E-2
1.335000E+2	3.356445E-6	6.653163E-8	3.009951E-1	4.039734E-2
1.340000E+2	3.573369E-6	6.620368E-8	3.091548E-1	4.185833E-2
1.345000E+2	3.852793E-6	6.637373E-8	3.054075E-1	3.166805E-2
1.350000E+2	4.232170E-6	5.459656E-8	3.692601E-1	2.832884E-2
1.355000E+2	4.629672E-6	6.466773E-8	3.341760E-1	2.221304E-2
1.360000E+2	5.176204E-6	9.063423E-8	4.534975E-1	1.828255E-2
1.365000E+2	5.797555E-6	9.126922E-8	4.964580E-1	1.578351E-2
1.370000E+2	6.570891E-6	6.495607E-8	5.613674E-1	1.695639E-2
1.375000E+2	7.794789E-6	8.321920E-8	6.376494E-1	1.322426E-2
1.380000E+2	9.014294E-6	1.513287E-7	7.583275E-1	2.111515E-2
1.385000E+2	1.035859E-5	1.467076E-7	9.562065E-1	1.876243E-2
1.390000E+2	1.197927E-5	1.646493E-7	1.203240E+0	1.045052E-2
1.395000E+2	1.268212E-5	2.271042E-7	1.497683E+0	1.166276E-2
1.400000E+2	1.223196E-5	2.366832E-7	1.797375E+0	1.346219E-2
1.405000E+2	1.080365E-5	1.487592E-7	2.056084E+0	1.242259E-2
1.410000E+2	9.189314E-6	1.519886E-7	2.252165E+0	2.453136E-2
1.415000E+2	7.780425E-6	1.436122E-7	2.421694E+0	2.256341E-2
1.420000E+2	6.904376E-6	1.146666E-7	2.471838E+0	1.641650E-2
1.425000E+2	5.813940E-6	1.058535E-7	2.599763E+0	2.026276E-2
1.430000E+2	5.154210E-6	1.035598E-7	2.646452E+0	2.517231E-2
1.435000E+2	4.542009E-6	1.206816E-7	2.689566E+0	2.426398E-2
1.440000E+2	4.078339E-6	8.412049E-8	2.695464E+0	2.739036E-2
1.445000E+2	3.631301E-6	7.795075E-8	2.752954E+0	3.272695E-2
1.450000E+2	3.118032E-6	7.395088E-8	2.250383E+0	3.999556E-1
1.455000E+2	2.977390E-6	7.558923E-8	2.529056E+0	2.888040E-1
1.460000E+2	2.804505E-6	7.441469E-8	2.837204E+0	2.468609E-2
1.465000E+2	2.517794E-6	6.645915E-8	2.514649E+0	2.892530E-1
1.470000E+2	2.270587E-6	5.806566E-8	2.301826E+0	4.031812E-1
1.475000E+2	2.159202E-6	4.262910E-8	2.840562E+0	4.244425E-2
1.480000E+2	2.042917E-6	8.543771E-8	1.911435E+0	4.700563E-1
1.485000E+2	1.874332E-6	6.144330E-8	1.348467E+0	5.700265E-1
1.490000E+2	1.794505E-6	7.254352E-8	2.520089E+0	2.947815E-1
1.495000E+2	1.806039E-6	8.053640E-8	2.510506E+0	2.902316E-1
